Category,Name,Symbol,Area_ha,Contribution_percent,USDA_Soil_Order,Published_Texture_or_Description,Primary_Locations_in_Coimbatore,Source
Soil Series,Irugur,Igr,215405,28.84,Not Published,Not Published,District-wide major series,TNAU District Agriculture Plan
Soil Series,Palladam,Pld,122965,16.47,Not Published,Not Published,District-wide major series,TNAU District Agriculture Plan
Soil Series,Palathurai,Pth,59920,8.02,Not Published,Not Published,District-wide,TNAU District Agriculture Plan
Soil Series,Pilarnedu,Plm,42914,5.74,Not Published,Not Published,District-wide,TNAU District Agriculture Plan
Soil Series,Manupatty,Mpy,30461,4.08,Not Published,Not Published,District-wide,TNAU District Agriculture Plan
Soil Series,Velalur,Vlr,24089,3.23,Not Published,Not Published,District-wide,TNAU District Agriculture Plan
Soil Series,Picchanur,Pch,20280,2.72,Not Published,Not Published,District-wide,TNAU District Agriculture Plan
Soil Series,Dasarapatti,Dpt,18913,2.53,Not Published,Not Published,District-wide,TNAU District Agriculture Plan
Soil Series,Sornayyanur,Smy,17847,2.39,Not Published,Not Published,District-wide,TNAU District Agriculture Plan
Soil Series,Noyyal,Nyl,5856,0.78,Not Published,Not Published,District-wide,TNAU District Agriculture Plan
Soil Series,Periyanaickenpalayam,Pyk,4075,0.55,Not Published,Not Published,District-wide,TNAU District Agriculture Plan
Soil Series,Anamalai,Aml,2918,0.39,Not Published,Not Published,District-wide,TNAU District Agriculture Plan
Soil Series,Okkilipalayam,Okp,1095,0.15,Not Published,Not Published,District-wide,TNAU District Agriculture Plan
Soil Series,Chavadiparai,Cvp,913,0.12,Not Published,Not Published,District-wide,TNAU District Agriculture Plan
Soil Series,Forest Soils,,158472,21.22,Not Published,Forest Soils,Western Ghats,TNAU District Agriculture Plan
Soil Series,Hill Soils,,20676,2.77,Not Published,Hill Soils,Hilly regions,TNAU District Agriculture Plan
Soil Classification,Red Loam,,Not Published,Not Published,Alfisols/Inceptisols,Red Loam,"Avinashi, Coimbatore North, Coimbatore South, Mettupalayam, Palladam, Pollachi, Tiruppur, Udumalpet",TNAU District Agriculture Plan
Soil Classification,Black Soil,,Not Published,Not Published,Vertisols/Inceptisols,Black Cotton Soil,"Avinashi, Coimbatore North, Coimbatore South, Palladam, Pollachi, Tiruppur, Udumalpet",TNAU District Agriculture Plan
Soil Classification,Sandy Coastal Alluvium,,Not Published,Not Published,Entisols,Sandy Alluvium,"Coimbatore North, Coimbatore South, Mettupalayam, Palladam",TNAU District Agriculture Plan
Soil Classification,Red Sandy Soil,,Not Published,Not Published,Entisols/Alfisols,Red Sandy Soil,"Avinashi, Coimbatore North, Coimbatore South",TNAU District Agriculture Plan
Soil Classification,Calcareous Soil,,Not Published,Not Published,Alfisols/Inceptisols,Calcareous Soil,"Avinashi, Palladam, Pollachi, Tiruppur",TNAU District Agriculture Plan
Mapped Soil Unit,"Moderately deep, fine loamy, mixed",,81208.37,Not Published,Alfisols,"Moderately deep, fine loamy, mixed",District-wide,TNAU District Agriculture Plan
Mapped Soil Unit,"Moderately deep, fine, montmorillonitic",,66974.41,Not Published,Inceptisols,"Moderately deep, fine, montmorillonitic",District-wide,TNAU District Agriculture Plan
Mapped Soil Unit,"Moderately shallow, fine loamy, mixed",,54598.91,Not Published,Inceptisols,"Moderately shallow, fine loamy, mixed",District-wide,TNAU District Agriculture Plan
Mapped Soil Unit,"Deep, fine loamy, mixed",,49184.42,Not Published,Inceptisols,"Deep, fine loamy, mixed",District-wide,TNAU District Agriculture Plan
Mapped Soil Unit,"Deep, fine, montmorillonitic",,46142.84,Not Published,Vertisols,"Deep, fine, montmorillonitic",District-wide,TNAU District Agriculture Plan
Mapped Soil Unit,"Deep, fine, mixed",,44715.54,Not Published,Inceptisols,"Deep, fine, mixed",District-wide,TNAU District Agriculture Plan
Mapped Soil Unit,"Deep, fine loamy, mixed",,41767.09,Not Published,Alfisols,"Deep, fine loamy, mixed",District-wide,TNAU District Agriculture Plan
Mapped Soil Unit,"Very deep, fine loamy, mixed",,40712.36,Not Published,Alfisols,"Very deep, fine loamy, mixed",District-wide,TNAU District Agriculture Plan
Mapped Soil Unit,"Moderately shallow, fine loamy, mixed",,31890.21,Not Published,Alfisols,"Moderately shallow, fine loamy, mixed",District-wide,TNAU District Agriculture Plan
Mapped Soil Unit,"Deep, fine, kaolinitic",,29545.57,Not Published,Inceptisols,"Deep, fine, kaolinitic",District-wide,TNAU District Agriculture Plan
