Soil Type / Series,Locations (Taluks / Blocks),Soil Characteristics,Suitable Crops (Theoretical Potential),Currently Grown Crops (Actual Cultivation Now)
Red Calcareous Soil,"Palladam, Coimbatore, Mettupalayam, Pollachi, and Udumalpet.","It is the most predominant soil type, covering approximately 60% of the district's geographical area. Medium to deep profiles are found mainly in Pollachi and Udumalpet.","Cotton, Ragi, Paddy, Groundnut, and Sugarcane.","Sorghum, Cumbu, Sugarcane, Turmeric, Maize, Onion, Paddy, and widespread Coconut."
Black Soil,"Coimbatore (North & South), Palladam, Tiruppur, Pollachi, Udumalpet, Avinashi, and Annur.",These are dark gray to grayish-brown soils that mostly occupy the highlands of the district.,"Cumbu, Cotton, and Groundnut.","Cotton (largely in Kinathukadavu, Madukkarai, and Annur), Groundnut, Ragi, Tapioca, Sorghum, Chillies, and Maize."
Red Non-Calcareous Soil,"Palladam, Avinashi, Udumalpet, Pollachi, Coimbatore, and Tiruppur.","These soils occupy parts of the Palladam, Avinashi, and Udumalpet taluks.","Cotton, Sugarcane, and Tobacco.","Banana (heavily commercialized in Karamadai and Thondamuthur), Sugarcane, Chillies, Coconut, Turmeric, Paddy, Onion, and Ragi."
Alluvial and Colluvial Soil,"Chinnathadagam, Chitrachavadi sub-basins, Siruvani valley, Anaimalai foothills, and the upper reaches of the Noyyal river.","These soils feature deep, fertile loamy profiles that often exceed 30 meters in thickness in the valleys.","Sugarcane, Banana, and Pulses.","Paddy (highly concentrated, with 92.31% of the district's paddy grown in the Anaimalai block), Sugarcane, and Banana."
Brown Soil,Coimbatore (North & South) and Palladam.,Covers approximately 5.61% of the district's area.,Maize and Banana.,"Sugarcane, Coconut, Ragi, Sorghum, and Groundnut."
Forest Soil,"Valparai, Mettupalayam, and Western Ghats reserve forests.",These are confined to reserve forest areas and are characterized by a distinct surface layer of organic matter.,"Coriander, Cardamom, Banana, Vegetables, Tea, and Coffee.","Tea, Coffee, Spices (Pepper, Cardamom), Banana, Paddy, and Sugarcane."
Irugur Series (Sub-classification),"Karamadai, Sulur, Anamalai, Pollachi (North & South), and Annur.","Moderately shallow, non-calcareous, well-drained reddish-brown sandy loam. Categorized as having poor agricultural productivity.",Rainfed dry crops and drought-tolerant millets.,"Sorghum (Cholam), Maize, and Pulses like Horsegram (largely in Karamadai and Kinathukadavu)."
Palladam Series (Sub-classification),"Kinathukadavu, Sulthanpet, and Pollachi (North & South).","Shallow, calcareous, well-drained sandy clay loam with a yellowish-red color. Categorized as having poor agricultural productivity.",Shallow-rooted crops.,Maize (31% of the district's maize is concentrated in Sulthanpet block) and Sorghum.
Palathurai Series (Sub-classification),"Thondamuthur, SS Kulam, Perur, and Madukarai.","Moderately shallow to deep, calcareous, well-drained sandy clay loam with a reddish-brown color. Exhibits average productivity.","Maize, groundnut, and pulses under irrigated conditions.","Maize, Banana, and Vegetables."
Pilamedu / Peelamedu Series (Sub-classification),"SS Kulam, Madukarai, Perur, Pollachi (South), and Sulur.","Deep, calcareous, moderately drained clay loam to heavy cracking soils with a very dark grayish-brown color. Exhibits average productivity.",Cotton and Millets.,"Cotton, Sorghum, and Cumbu."
Somayanur Series (Sub-classification),Thondamuthur and PN Palayam.,"Very deep, calcareous, well-drained sandy clay loam with a dark yellowish-brown color. Exhibits good agricultural productivity.",Irrigated agriculture.,"Banana, Vegetables, and intensive crop cultivation."
Dhasarapatti Series (Sub-classification),"Pollachi, Kinathukadavu, Sulthanpet, and Sulur.","Deep, calcareous, gypsum-rich, poorly drained clay with a very dark grey color. Exhibits average productivity.",Cotton and dry millets.,"Maize, Cotton, and Pulses."
