
```csv
"Plant / Crop","Dominant Soil Type","Pest Occurrence","Chemical Solutions","Biological Solutions"
"Coconut","Deep Red Calcareous, Red Non-Calcareous","Rugose spiralling whitefly (RSW), Rhinoceros beetle, Red palm weevil, Eriophyid mite.","Root feeding or spot application of systemic insecticides only during severe outbreaks to avoid harming pollinators.","Install yellow sticky traps with castor oil, release Encarsia guadeloupae, use pheromone traps, and apply Metarhizium anisopliae in manure pits."
"Paddy (Rice)","Alluvial and Colluvial, Red Calcareous","Stem borer, Leaf folder, Earhead bug, Green leaf hopper, Root knot nematode.","Spray Flubendiamide 20% WG, Cartap hydrochloride 50% SP, or Chlorantraniliprole 18.5 SC. Apply Carbofuran 3G for nematodes.","Spray Neem seed kernel extract (NSKE 5%) for earhead bugs. Utilize biocontrol agents like Pseudomonas fluorescens."
"Cotton","Black Soil (Vertisols), Red Non-Calcareous","Sucking pests, Aphids, Bollworms.","Spray Emamectin Benzoate 5% SG or Imidacloprid 17.8% SL for aphids and sucking pests.","Install pheromone traps and make inundative releases of egg parasitoids like Trichogrammatoidea bactrae."
"Maize","Brown Soil, Red Calcareous, Irugur series","Fall Armyworm (FAW).","Treat seeds with Cyantraniliprole + Thiamethoxam. Spray Chlorantraniliprole 18.5 SC at early whorl stage.","Apply neem cake at last ploughing, use border cropping with cowpea/sunflower, and spray Metarhizium anisopliae or Beauveria bassiana."
"Sugarcane","Alluvial and Colluvial, Deep Clay","Internode borer, Early shoot borer, Crown mealybug.","Sett treatment with Propiconazole + Imidacloprid.","Release the egg parasitoid Trichogramma chilonis at 15-day intervals. Release Sturmiopsis inferens gravid females."
"Groundnut","Black Soil, Red Calcareous, Brown Soil","Root rot, Collar rot, Sucking pests.","Soil drenching with Carbendazim 50 WP. Spray Imidacloprid or Dimethoate for sap-sucking pests.","Seed treatment with Trichoderma viride. Grow castor as a trap crop, set up light and pheromone traps."
"Pulses (Green, Black, Bengal gram)","Alluvial Soil, Black Soil, Irugur series","Whitefly (Yellow mosaic virus vector), Spotted pod borer.","Spray Acetamiprid 20 SP or Thiamethoxam 25 WDG to manage whitefly vectors.","Raise sunflower as an intercrop, set up bird perches, and spray Bacillus thuringiensis."
"Banana","Alluvial Soil, Brown Soil, Red Non-Calcareous","Thrips, Leaf spot.","Stem injection of systemic insecticides. Spray Dimethoate 30 EC for thrips.","Use disease-free suckers, pare and pralinage with clay + neem cake."
"Grapes, Guava & Mango","Red Loam, Forest Soil, Red Calcareous","Thrips, Fruit fly, Root knot nematode (Guava).","Spray Cyantraniliprole or Imidacloprid for thrips. Apply Carbofuran 3G for nematodes.","Install methyl eugenol traps for fruit flies. Apply Purpureocillium lilacinum and Pochonia chlamydosporia for nematodes in Guava."
"Spices (Coffee, Pepper)","Forest Soil (Valparai/Western Ghats)","White & Red stem borer, Coffee berry borer, Wilt disease (Pepper).","Apply Chlorpyrifos for stem borers. Spray 1% Bordeaux mixture for pepper wilt.","Apply Trichoderma asperellum and Pseudomonas fluorescens for pepper wilt. Use pheromone traps for coffee borers."
"Vegetables (Tomato, Chilli, Bhendi, Gourds)","Red Calcareous, Somayanur Series","Thrips, Whitefly, Fruit borer, Mites, Leaf hopper, Fruit fly.","Spray Dimethoate 30 EC, Imidacloprid 17.8 SL, Spinosad 45 SC, or Spiromesifen.","Intercrop with Agathi (Sesbania grandiflora). Use pheromone traps, release Trichogramma chilonis."
"Flowers (Jasmine)","Somayanur Series, Red Soils","Budworm, Blossom midge, Red spider mite.","Spray Chlorantraniliprole 18.5 SC or Spinosad 45 SC for budworm/midge attacks.","Prune bushes thoroughly, spray NSKE 5%, release Trichogramma chilonis, and apply Bacillus thuringiensis."
```
