
```csv
"Crop / Plant Category","Optimum pH Range","Macronutrient Requirements & Soil Limits","Micronutrient Requirements & Critical Limits"
"Cereals (Maize, Sorghum, Wheat, Barley)","6.0 - 7.5","Requires standard soil thresholds (N > 250 kg/ha, P > 35 kg/ha, K > 280 kg/ha).","Requires standard soil thresholds (Fe > 4.5 ppm, Zn > 1.0 ppm, B 0.5-1.0 ppm)."
"Rice / Paddy","4.0 - 6.0","Requires standard soil thresholds for wetland conditions.","Requires standard soil thresholds."
"Millets (Cumbu/Bajra, Ragi)","5.0 - 6.5","Without extraneous nutrients, finger millet naturally yields 0.6 to 0.8 ton/ha; requires balanced NPK for higher yield goals.","Requires standard soil thresholds."
"Oats","5.0 - 7.7","Requires standard soil thresholds.","Requires standard soil thresholds."
"Legumes (Field beans, Soybean, Pea, Lentil)","5.5 - 7.0","Requires high Phosphorus (P > 35 kg/ha) to increase the activity of nodular bacteria which fix nitrogen.","Requires standard soil thresholds."
"Green Gram","5.5 - 7.0","Requires standard soil thresholds.","Shows significant yield response to Molybdenum (Mo); soil critical limit for Mo is 0.043 mg/kg."
"Groundnut","5.3 - 6.6","Requires standard soil thresholds.","Requires standard soil thresholds."
"Sugarcane","6.0 - 7.5","Recommended dose of fertilizers (N:P2O5:K2O) ranges from 350:150:150 kg/ha to 375:100:200 kg/ha for high target yields.","TNAU package recommends supplementing with FeSO4 and ZnSO4."
"Cotton","5.0 - 6.5","Requires standard soil thresholds.","Requires standard soil thresholds."
"Potato","5.0 - 5.5","Requires standard soil thresholds.","Requires standard soil thresholds."
"Tea","4.0 - 6.0","Requires standard soil thresholds.","Requires standard soil thresholds."
"Onion","6.0 - 7.5 (General)","Requires standard soil thresholds.","Highly responsive to Copper (Cu); the critical limit for DTPA-extractable Cu in the soil is 0.625 mg/kg."
```
